Ссылка,Название,Описание,Метро,Дальность от метро,Адрес,Стоимость,Стоимость за метр
https://www.cian.ru/sale/flat/307229057/,"2-комн. квартира, 40,1 м², 3/9 этаж",Информация отсутствует,Преображенская площадь,11 минут пешком,"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Халтуринская улица, 11",13 400 000 ₽,334 165 ₽/м²
https://www.cian.ru/sale/flat/309402371/,"2-комн. квартира, 54,24 м², 7/24 этаж",Сдача корпуса 2 кв. 2027,Улица Сергея Эйзенштейна,10 минут пешком,"Москва, СВАО, р-н Алексеевский, м. Улица Сергея Эйзенштейна, проспект Мира, 186АС1",27 288 144 ₽,503 100 ₽/м²
https://www.cian.ru/sale/flat/294517249/,Видовая квартира на Юго-Западной,"2-комн. квартира, 67 м², 23/27 этаж",Юго-Западная,4 минуты пешком,"Москва, ЗАО, р-н Тропарево-Никулино, м. Юго-Западная, улица Покрышкина, 1к1",33 000 000 ₽,492 537 ₽/м²
https://www.cian.ru/sale/flat/311298178/,Новый ремонт !,"2-комн. квартира, 53 м², 2/17 этаж",Пятницкое шоссе,9 минут пешком,"Москва, СЗАО, р-н Митино, м. Пятницкое шоссе, Пятницкое шоссе, 38К1",17 650 000 ₽,333 019 ₽/м²
https://www.cian.ru/sale/flat/309757898/,"2-комн. апартаменты, 41,19 м², 3/14 этаж",Секция 1 • Сдача корпуса 2 кв. 2026,Киевская,6 минут пешком,"Москва, ЗАО, р-н Дорогомилово, м. Киевская, 1-й Можайский тупик, 8АС1",43 249 500 ₽,1 050 000 ₽/м²
https://www.cian.ru/sale/flat/311279343/,Квартира рядом с Кремлем,"2-комн. квартира, 105 м², 2/6 этаж",Охотный ряд,10 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Охотный ряд, переулок Брюсов, 2/14С2",154 496 849 ₽,1 471 399 ₽/м²
https://www.cian.ru/sale/flat/311367334/,Двушка с мебелью и техникой,"2-комн. квартира, 52 м², 4/12 этаж",Калитники,1 минута пешком,"Москва, ЮВАО, р-н Нижегородский, м. Калитники, Средняя Калитниковская улица, 51к2",14 500 000 ₽,278 846 ₽/м²
https://www.cian.ru/sale/flat/311031853/,"2-комн. квартира, 45,8 м², 11/18 этаж",Сдача корпуса 4 кв. 2026,Александровский сад,5 минут на транспорте,"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Бадаевский ЖК",56 907 301 ₽,1 242 517 ₽/м²
https://www.cian.ru/sale/flat/308314792/,Уютная двушка в ЦАО с гардеробной,"2-комн. квартира, 44,1 м², 8/9 этаж",Информация отсутствует,8 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Белорусская, Грузинский переулок, 6",28 000 000 ₽,634 921 ₽/м²
https://www.cian.ru/sale/flat/310783473/,Лучшая цена! Двушка 44м Реновация,"2-комн. квартира, 44,5 м², 4/5 этаж",Нагорная,12 минут пешком,"Москва, ЮЗАО, р-н Котловка, м. Нагорная, Нагорный бульвар, 17",12 700 000 ₽,285 393 ₽/м²
https://www.cian.ru/sale/flat/309242872/,"2-комн. квартира, 65,8 м², 7/22 этаж",Сдача корпуса 4 кв. 2024,Фили,4 минуты на транспорте,"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 2",31 630 520 ₽,480 707 ₽/м²
https://www.cian.ru/sale/flat/304329865/,Лучшая цена!Быстрая продажа!,"2-комн. апартаменты, 49,9 м², 3/8 этаж",Новокузнецкая,11 минут пешком,"Москва, ЦАО, р-н Якиманка, м. Новокузнецкая, Софийская набережная, 34",69 000 000 ₽,1 382 766 ₽/м²
https://www.cian.ru/sale/flat/309543274/,"2-комн. апартаменты, 64 м², 4/4 этаж",Информация отсутствует,Красносельская,19 минут пешком,"Москва, ВАО, р-н Сокольники, м. Красносельская, 2-я Рыбинская улица, 13",13 900 000 ₽,217 188 ₽/м²
https://www.cian.ru/sale/flat/305750898/,"2-комн. квартира, 48,5 м², 3/18 этаж",Секция 1 • Сдача корпуса 1 кв. 2028,Площадь Гагарина,10 минут пешком,"Москва, ЮАО, р-н Донской, м. Ленинский проспект, 2-й Донской проезд, 10",39 857 882 ₽,821 812 ₽/м²
https://www.cian.ru/sale/flat/309186192/,Прекрасный вид!,"2-комн. апартаменты, 62,7 м², 12/34 этаж",Парк Победы,17 минут пешком,"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",55 000 000 ₽,877 193 ₽/м²
https://www.cian.ru/sale/flat/306775783/,Уютная двушка рядом с парком,"2-комн. квартира, 37,4 м², 2/9 этаж",Коломенская,4 минуты пешком,"Москва, ЮАО, р-н Нагатино-Садовники, м. Коломенская, Высокая улица, 20",14 390 000 ₽,384 759 ₽/м²
https://www.cian.ru/sale/flat/288136857/,От застройщика Capital Group,"2-комн. апартаменты, 80,6 м², 59/85 этаж",Информация отсутствует,1 минута пешком,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 21с2",77 039 133 ₽,955 821 ₽/м²
https://www.cian.ru/sale/flat/307826522/,Лучшее предложение! Звони!,"2-комн. апартаменты, 148,5 м², 3/9 этаж",Маяковская,2 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",220 000 000 ₽,1 481 481 ₽/м²
https://www.cian.ru/sale/flat/310067386/,Отличная 2-к квартира!,"2-комн. квартира, 53,2 м², 14/17 этаж",Беломорская,4 минуты пешком,"Москва, САО, р-н Левобережный, м. Беломорская, Беломорская улица, 13к2",14 600 000 ₽,274 436 ₽/м²
https://www.cian.ru/sale/flat/308640087/,"2-комн. квартира, 75,9 м², 3/11 этаж",Секция 1 • Сдача корпуса 4 кв. 2025,Павелецкая,16 минут пешком,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Опус ЖК",69 798 626 ₽,919 613 ₽/м²
https://www.cian.ru/sale/flat/310717982/,"2-комн. апартаменты, 76,5 м², 6/12 этаж",Информация отсутствует,Маяковская,5 минут пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, 2-я Брестская улица, 6",76 500 000 ₽,1 000 000 ₽/м²
https://www.cian.ru/sale/flat/306837240/,Апартаменты рядом с Кремлём,"2-комн. апартаменты, 94 м², 5/6 этаж",Новокузнецкая,9 минут пешком,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая набережная, 7",99 000 000 ₽,1 053 191 ₽/м²
https://www.cian.ru/sale/flat/309583591/,"2-комн. квартира, 44,4 м², 2/33 этаж",Секция 2 • Сдача корпуса 4 кв. 2027,Новохохловская,11 минут пешком,"Москва, ЮВАО, р-н Текстильщики, м. Новохохловская, 1-й Грайвороновский проезд, 2С10",17 094 000 ₽,385 000 ₽/м²
https://www.cian.ru/sale/flat/305963823/,"2-комн. квартира, 99,71 м², 9/14 этаж",Информация отсутствует,Фрунзенская,11 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 15А",150 000 000 ₽,1 504 363 ₽/м²
https://www.cian.ru/sale/flat/308878597/,Апартамент в ЖК Balchug Residence,"2-комн. апартаменты, 62 м², 3/7 этаж",Новокузнецкая,8 минут пешком,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая улица, 29",50 000 000 ₽,806 452 ₽/м²
https://www.cian.ru/sale/flat/303330158/,Беспроцентная рассрочка,"2-комн. квартира, 70,8 м², 2/15 этаж",Тульская,4 минуты пешком,"Москва, ЮАО, р-н Даниловский, м. Тульская, улица Серпуховский Вал, 7",58 480 800 ₽,826 000 ₽/м²
https://www.cian.ru/sale/flat/308099479/,"2-комн. квартира, 45,8 м², 20/26 этаж",Информация отсутствует,Нагатинская,15 минут пешком,"Москва, ЮАО, р-н Нагатино-Садовники, м. Нагатинская, Нагатинская набережная, 10А",19 700 000 ₽,430 131 ₽/м²
https://www.cian.ru/sale/flat/310408399/,Свободная продажа Без обременений,"2-комн. квартира, 45 м², 5/9 этаж",Пражская,7 минут пешком,"Москва, ЮАО, р-н Чертаново Центральное, м. Пражская, улица Красного Маяка, 5К1",15 200 000 ₽,337 778 ₽/м²
https://www.cian.ru/sale/flat/307668269/,Резиденция с авторской отделкой,"2-комн. квартира, 61,6 м², 6/25 этаж",Кунцевская,9 минут пешком,"Москва, ЗАО, р-н Фили-Давыдково, м. Кунцевская, Малая Филевская улица, 46",48 664 000 ₽,790 000 ₽/м²
https://www.cian.ru/sale/flat/309950243/,Лучшая цена в доме!,"2-комн. апартаменты, 60,7 м², 8/9 этаж",Маяковская,2 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",74 100 000 ₽,1 220 758 ₽/м²
https://www.cian.ru/sale/flat/310204534/,дизайнерская видовая квартира,"2-комн. квартира, 58,7 м², 23/30 этаж",Волгоградский проспект,8 минут пешком,"Москва, ЮВАО, р-н Южнопортовый, м. Угрешская, Волгоградский проспект, 32/3к7",34 000 000 ₽,579 216 ₽/м²
https://www.cian.ru/sale/flat/309385071/,"2-комн. квартира, 57,1 м², 2/46 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,Павелецкая,17 минут пешком,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Павелецкая Сити ЖК",23 635 974 ₽,413 940 ₽/м²
https://www.cian.ru/sale/flat/310782954/,"2-комн. квартира, 68 м², 10/24 этаж",Информация отсутствует,Шелепиха,19 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Шмитовский проезд, 16С2",38 307 000 ₽,563 338 ₽/м²
https://www.cian.ru/sale/flat/308512833/,двушка 3 мин от метро,"2-комн. квартира, 44 м², 3/9 этаж",Отрадное,10 минут пешком,"Москва, СВАО, р-н Отрадное, м. Отрадное, улица Бестужевых, 8А",15 500 000 ₽,352 273 ₽/м²
https://www.cian.ru/sale/flat/303519421/,Дом готов. Отделка элит-класса,"2-комн. квартира, 59,8 м², 2/10 этаж",Поклонная,4 минуты пешком,"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Виктори Парк Резиденсез ЖК, 3к8",85 514 000 ₽,1 430 000 ₽/м²
https://www.cian.ru/sale/flat/306226871/,Лучшее предложение! Звони!,"2-комн. квартира, 106,9 м², 3/14 этаж",Киевская,11 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Киевская, переулок 1-й Тружеников, 16",160 350 000 ₽,1 500 000 ₽/м²
https://www.cian.ru/sale/flat/311392445/,Новый ремонт! 10 мин до метро,"2-комн. квартира, 51 м², 2/17 этаж",Медведково,10 минут пешком,"Москва, СВАО, р-н Северное Медведково, м. Медведково, Студеный проезд, 4К2",18 400 000 ₽,360 784 ₽/м²
https://www.cian.ru/sale/flat/296640098/,"2-комн. квартира, 58,94 м², 3/49 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,Марьина Роща,11 минут пешком,"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, Тэйт ЖК",23 380 319 ₽,396 680 ₽/м²
https://www.cian.ru/sale/flat/311274277/,"Переуступка Ипотеки -ставка 10,9%","2-комн. квартира, 43,1 м², 4/9 этаж",Аэропорт,5 минут пешком,"Москва, САО, р-н Аэропорт, м. Аэропорт, Ленинградский проспект, 54/1",25 320 000 ₽,587 471 ₽/м²
https://www.cian.ru/sale/flat/310168495/,Индивидуальный дизайн-проект!,"2-комн. квартира, 54,5 м², 2/6 этаж",Пушкинская,3 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Пушкинская, Козицкий переулок, 1А",54 840 000 ₽,1 006 239 ₽/м²
https://www.cian.ru/sale/flat/310487934/,"2-комн. квартира, 72,6 м², 2/23 этаж",Секция 3 • Сдача корпуса 4 кв. 2026,Бауманская,13 минут пешком,"Москва, ЦАО, р-н Басманный, м. Бауманская, улица Фридриха Энгельса, 56С9",34 630 200 ₽,477 000 ₽/м²
https://www.cian.ru/sale/flat/292267406/,Шикарный апартамент с отделкой,"2-комн. апартаменты, 49 м², 3/6 этаж",Парк Культуры,10 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовская улица, 7",64 000 000 ₽,1 306 122 ₽/м²
https://www.cian.ru/sale/flat/309819745/,Эксклюзивные апартаменты у РЕКИ!,"2-комн. апартаменты, 137 м², 4/6 этаж",Новокузнецкая,9 минут пешком,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая набережная, 7",200 850 000 ₽,1 466 058 ₽/м²
https://www.cian.ru/sale/flat/306611837/,"2-комн. квартира, 31,2 м², 2/59 этаж",Секция 2 • Сдача корпуса 3 кв. 2028,Давыдково,4 минуты на транспорте,"Москва, ЗАО, р-н Можайский, м. Давыдково, Веер ЖК",15 633 820 ₽,501 084 ₽/м²
https://www.cian.ru/sale/flat/310840658/,Дизайнерские апартаменты,"2-комн. апартаменты, 85 м², 2/6 этаж",Фрунзенская,13 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 9",265 000 000 ₽,3 117 647 ₽/м²
https://www.cian.ru/sale/flat/311208278/,Большая 2ка с дизайн-ким ремонтом,"2-комн. квартира, 60 м², 7/22 этаж",Марьино,8 минут пешком,"Москва, ЮВАО, р-н Марьино, м. Марьино, Новочеркасский бульвар, 42",18 300 000 ₽,305 000 ₽/м²
https://www.cian.ru/sale/flat/311031853/,"2-комн. квартира, 45,8 м², 11/18 этаж",Сдача корпуса 4 кв. 2026,Александровский сад,5 минут на транспорте,"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Бадаевский ЖК",56 907 301 ₽,1 242 517 ₽/м²
https://www.cian.ru/sale/flat/306837240/,Апартаменты рядом с Кремлём,"2-комн. апартаменты, 94 м², 5/6 этаж",Новокузнецкая,9 минут пешком,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая набережная, 7",99 000 000 ₽,1 053 191 ₽/м²
https://www.cian.ru/sale/flat/310447016/,"2-комн. квартира, 38,3 м², 8/12 этаж",Информация отсутствует,Нагорная,12 минут пешком,"Москва, ЮЗАО, р-н Котловка, м. Нагорная, Нагорная улица, 17К3",14 200 000 ₽,370 757 ₽/м²
https://www.cian.ru/sale/flat/307196116/,"Рассрочка 0%. 2-к. кв., 62.8 м2","2-комн. квартира, 62,8 м², 2/19 этаж • Секция 5",Петровский Парк,16 минут пешком,"Москва, САО, р-н Савеловский, м. Гражданская, Старый Петровско-Разумовский проезд, 1/23С5",26 242 362 ₽,417 872 ₽/м²
https://www.cian.ru/sale/flat/305963823/,"2-комн. квартира, 99,71 м², 9/14 этаж",Информация отсутствует,Фрунзенская,11 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 15А",150 000 000 ₽,1 504 363 ₽/м²
https://www.cian.ru/sale/flat/308567023/,Дизайнерская двушка возле метро,"2-комн. квартира, 38 м², 3/9 этаж",Бутырская,11 минут пешком,"Москва, СВАО, р-н Марьина роща, м. Бутырская, Шереметьевская улица, 41",15 300 000 ₽,402 632 ₽/м²
https://www.cian.ru/sale/flat/303330158/,Беспроцентная рассрочка,"2-комн. квартира, 70,8 м², 2/15 этаж",Тульская,4 минуты пешком,"Москва, ЮАО, р-н Даниловский, м. Тульская, улица Серпуховский Вал, 7",58 480 800 ₽,826 000 ₽/м²
https://www.cian.ru/sale/flat/308878597/,Апартамент в ЖК Balchug Residence,"2-комн. апартаменты, 62 м², 3/7 этаж",Новокузнецкая,8 минут пешком,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая улица, 29",50 000 000 ₽,806 452 ₽/м²
https://www.cian.ru/sale/flat/309755274/,Лучшее предложение!,"2-комн. квартира, 44 м², 10/12 этаж",Грачёвская,3 минуты на транспорте,"Москва, САО, р-н Дмитровский, м. Грачёвская, Клязьминская улица, 4",10 500 000 ₽,238 636 ₽/м²
https://www.cian.ru/sale/flat/298406172/,"2-комн. квартира, 66,7 м², 4/13 этаж",Секция 6 • Сдача корпуса 2 кв. 2025,Спартак,11 минут пешком,"Москва, СЗАО, р-н Покровское-Стрешнево, м. Спартак, Клубный Город на Реке Примавера ЖК, Вивальди кв-л",32 609 630 ₽,488 900 ₽/м²
https://www.cian.ru/sale/flat/308099479/,"2-комн. квартира, 45,8 м², 20/26 этаж",Информация отсутствует,Нагатинская,15 минут пешком,"Москва, ЮАО, р-н Нагатино-Садовники, м. Нагатинская, Нагатинская набережная, 10А",19 700 000 ₽,430 131 ₽/м²
https://www.cian.ru/sale/flat/296565916/,5 минут до Патриарших прудов,"2-комн. квартира, 65 м², 4/8 этаж",Маяковская,2 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, Благовещенский переулок, 5",38 500 000 ₽,592 308 ₽/м²
https://www.cian.ru/sale/flat/302013644/,Рассрочка 0% на апартаменты,"2-комн. апартаменты, 54,3 м², 3/9 этаж • Секция 10",Аннино,4 минуты пешком,"Москва, ЮАО, р-н Чертаново Южное, м. Аннино, Варшавские Ворота ЖК, 1.1",12 251 057 ₽,225 618 ₽/м²
https://www.cian.ru/sale/flat/310408399/,Свободная продажа Без обременений,"2-комн. квартира, 45 м², 5/9 этаж",Пражская,7 минут пешком,"Москва, ЮАО, р-н Чертаново Центральное, м. Пражская, улица Красного Маяка, 5К1",15 200 000 ₽,337 778 ₽/м²
https://www.cian.ru/sale/flat/306778286/,Продается 2-комн. квартира,"2-комн. квартира, 43,8 м², 6/9 этаж",Бибирево,7 минут пешком,"Москва, СВАО, р-н Бибирево, м. Бибирево, улица Плещеева, 7В",10 800 000 ₽,246 575 ₽/м²
https://www.cian.ru/sale/flat/311163609/,"2-комн. квартира, 63,4 м², 6/21 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,Информация отсутствует,5 минут на транспорте,"Москва, ЮВАО, р-н Лефортово, м. Площадь Ильича, Символ ЖК",24 611 880 ₽,388 200 ₽/м²
https://www.cian.ru/sale/flat/309950243/,Лучшая цена в доме!,"2-комн. апартаменты, 60,7 м², 8/9 этаж",Маяковская,2 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",74 100 000 ₽,1 220 758 ₽/м²
https://www.cian.ru/sale/flat/309381534/,"Дизайнерская отделка, мебель!","2-комн. квартира, 38,3 м², 8/12 этаж",Полежаевская,6 минут пешком,"Москва, САО, р-н Хорошевский, м. Полежаевская, улица Куусинена, 6К10",17 980 000 ₽,469 452 ₽/м²
https://www.cian.ru/sale/flat/310459264/,"Рассрочка 0%. 2-к. кв., 54.5 м2","2-комн. квартира, 54,5 м², 2/25 этаж • Секция 4",Семёновская,20 минут пешком,"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 1-й Кирпичный переулок, 17",18 391 890 ₽,337 466 ₽/м²
https://www.cian.ru/sale/flat/310204534/,дизайнерская видовая квартира,"2-комн. квартира, 58,7 м², 23/30 этаж",Волгоградский проспект,8 минут пешком,"Москва, ЮВАО, р-н Южнопортовый, м. Угрешская, Волгоградский проспект, 32/3к7",34 000 000 ₽,579 216 ₽/м²
https://www.cian.ru/sale/flat/296403571/,Идеальная локация,"2-комн. квартира, 62 м², 4/8 этаж",Маяковская,2 минуты пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, Благовещенский переулок, 5",38 500 000 ₽,620 968 ₽/м²
https://www.cian.ru/sale/flat/311204940/,"2-комн. квартира, 56,4 м², 3/36 этаж",Сдача корпуса 3 кв. 2027,Тушинская,4 минуты пешком,"Москва, СЗАО, р-н Покровское-Стрешнево, м. Тушинская, Вишневая улица, 7С128",18 574 945 ₽,329 343 ₽/м²
https://www.cian.ru/sale/flat/310782954/,"2-комн. квартира, 68 м², 10/24 этаж",Информация отсутствует,Шелепиха,19 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Шмитовский проезд, 16С2",38 307 000 ₽,563 338 ₽/м²
https://www.cian.ru/sale/flat/306371748/,"Евро ремонт, новая техника!","2-комн. квартира, 45 м², 5/9 этаж",Новаторская,10 минут пешком,"Москва, ЮЗАО, р-н Ломоносовский, м. Новаторская, улица Гарибальди, 4К5",15 380 000 ₽,341 778 ₽/м²
https://www.cian.ru/sale/flat/305787512/,"2-комн. квартира, 73,2 м², 40/67 этаж",Сдан,Деловой центр,14 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Краснопресненская набережная, 14Ак1",84 180 000 ₽,1 150 000 ₽/м²
https://www.cian.ru/sale/flat/308512833/,двушка 3 мин от метро,"2-комн. квартира, 44 м², 3/9 этаж",Отрадное,10 минут пешком,"Москва, СВАО, р-н Отрадное, м. Отрадное, улица Бестужевых, 8А",15 500 000 ₽,352 273 ₽/м²
https://www.cian.ru/sale/flat/310189159/,"Капитальный ремонт, кухня!","2-комн. квартира, 53,9 м², 4/5 этаж",Университет,13 минут пешком,"Москва, ЮЗАО, р-н Ломоносовский, м. Университет, улица Строителей, 5К4",19 480 000 ₽,361 410 ₽/м²
https://www.cian.ru/sale/flat/274701405/,"2-комн. квартира, 43,3 м², 2/17 этаж",Секция 6 • Сдача корпуса 1 кв. 2025,Ломоносовский проспект,14 минут пешком,"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мичуринский проспект, вл30Б",Информация отсутствует,662 438 ₽/м²
https://www.cian.ru/sale/flat/307822693/,"Лучшее предложение, видовая","2-комн. квартира, 66,4 м², 9/18 этаж",Воробьёвы горы,12 минут пешком,"Москва, ЦАО, р-н Хамовники, м. Воробьёвы горы, Коллекция Лужники ЖК",67 000 000 ₽,1 009 036 ₽/м²
https://www.cian.ru/sale/flat/305476391/,"2-комн. квартира, 41,9 м², 3/19 этаж",Секция Корпус 3 • Сдача корпуса 4 кв. 2026,Давыдково,11 минут пешком,"Москва, ЗАО, р-н Можайский, м. Давыдково, Родина Парк ЖК",25 063 460 ₽,598 173 ₽/м²
https://www.cian.ru/sale/flat/311233676/,Дизайнерская двушка у метро,"2-комн. квартира, 46,2 м², 3/12 этаж",Водный стадион,11 минут пешком,"Москва, САО, р-н Головинский, м. Водный стадион, Авангардная улица, 12",18 500 000 ₽,400 433 ₽/м²
https://www.cian.ru/sale/flat/293713880/,"2-комн. квартира, 85,6 м², 2/14 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Боровицкая,20 минут пешком,"Москва, ЦАО, р-н Якиманка, м. Новокузнецкая, Лаврушинский ЖК",184 760 000 ₽,2 158 411 ₽/м²
https://www.cian.ru/sale/flat/300603892/,При выходе на сделку до 31.12.24,"2-комн. квартира, 48 м², 6/41 этаж",Кутузовская,16 минут пешком,"Москва, ЗАО, р-н Раменки, м. Кутузовская, 1-й Сетуньский проезд, 6С6",26 590 000 ₽,553 958 ₽/м²
https://www.cian.ru/sale/flat/309357160/,"2-комн. квартира, 82,6 м², 3/12 этаж",Секция 1 • Сдан,Информация отсутствует,12 минут пешком,"Москва, ЗАО, р-н Раменки, м. Мичуринский проспект, улица Сергея Бондарчука, 4",83 313 300 ₽,1 008 636 ₽/м²
https://www.cian.ru/sale/flat/309811504/,Лучшее предложение в Дорогмилово!,"2-комн. квартира, 56,6 м², 6/8 этаж",Киевская,8 минут пешком,"Москва, ЗАО, р-н Дорогомилово, м. Киевская, Большая Дорогомиловская улица, 5",37 800 000 ₽,667 845 ₽/м²
https://www.cian.ru/sale/flat/310927619/,"2-комн. квартира, 77,4 м², 6/46 этаж",Секция 1 • Сдача корпуса 1 кв. 2026,Карамышевская,14 минут пешком,"Москва, СЗАО, р-н Хорошево-Мневники, м. Карамышевская, улица Демьяна Бедного, 24С8",47 678 400 ₽,616 000 ₽/м²
https://www.cian.ru/sale/flat/311414382/,ЖБ Перекрытия!,"2-комн. квартира, 156 м², 4/6 этаж",Маяковская,7 минут пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, улица Малая Дмитровка, 29С1",78 970 000 ₽,506 218 ₽/м²
https://www.cian.ru/sale/flat/311430788/,"2-комн. квартира, 64,8 м², 6/41 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,Тульская,6 минут пешком,"Москва, ЮАО, р-н Даниловский, м. Тульская",33 300 720 ₽,513 900 ₽/м²
https://www.cian.ru/sale/flat/311134295/,Своя личная веранда в городе!,"2-комн. апартаменты, 107 м², 3/21 этаж",Информация отсутствует,12 минут пешком,"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, улица Народного Ополчения, 13",47 000 000 ₽,439 252 ₽/м²
