Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, ЮЗАО, р-н Котловка, м. Профсоюзная, Новые Академики ЖК, 31/2",7 минут на транспорте,Нахимовский проспект,"2-комн. квартира, 63,43 м², 3/13 этаж",Секция 4 • Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/307942353/,27 104 412 ₽,427 312 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Китай-город, улица Маросейка, 11/4С1",3 минуты пешком,Китай-город,Квартире у Кремля,"2-комн. апартаменты, 50,4 м², 3/3 этаж",https://www.cian.ru/sale/flat/306295791/,70 000 000 ₽,1 388 889 ₽/м²
"Москва, ЗАО, р-н Ново-Переделкино, м. Новопеределкино, Новопеределкинская улица, 11",9 минут пешком,Новопеределкино,Новый дизайнерскй ремонт.,"2-комн. квартира, 53 м², 2/14 этаж",https://www.cian.ru/sale/flat/310479757/,16 550 000 ₽,312 264 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Павелецкая Сити ЖК",17 минут пешком,Павелецкая,"2-комн. квартира, 60,6 м², 4/28 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/310309795/,23 900 337 ₽,394 395 ₽/м²
"Москва, ЗАО, р-н Кунцево, м. Молодёжная, улица Академика Павлова, 28",13 минут пешком,Крылатское,"2-комн. квартира, 66 м², 4/22 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/298547671/,34 500 000 ₽,522 727 ₽/м²
"Москва, ЮАО, р-н Нагатино-Садовники, м. Коломенская, Высокая улица, 20",4 минуты пешком,Коломенская,Уютная двушка рядом с парком,"2-комн. квартира, 37,4 м², 2/9 этаж",https://www.cian.ru/sale/flat/306775783/,14 390 000 ₽,384 759 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 30",10 минут пешком,Фрунзенская,"2-комн. квартира, 86,1 м², 4/12 этаж",Секция 1 • Сдача корпуса 3 кв. 2027,https://www.cian.ru/sale/flat/306341798/,222 000 000 ₽,2 578 397 ₽/м²
"Москва, ЗАО, р-н Тропарево-Никулино, м. Юго-Западная, улица Покрышкина, 1к1",4 минуты пешком,Юго-Западная,Видовая квартира на Юго-Западной,"2-комн. квартира, 67 м², 23/27 этаж",https://www.cian.ru/sale/flat/294517249/,33 000 000 ₽,492 537 ₽/м²
"Москва, ЮЗАО, р-н Обручевский, м. Университет Дружбы Народов, улица Островитянова, 5К1",16 минут пешком,Университет Дружбы Народов,Записывайтесь на показ в субботу!,"2-комн. квартира, 51,1 м², 7/17 этаж",https://www.cian.ru/sale/flat/310838239/,17 300 000 ₽,338 552 ₽/м²
"Москва, СВАО, р-н Алексеевский, м. Улица Сергея Эйзенштейна, проспект Мира, 186АС1",10 минут пешком,Улица Сергея Эйзенштейна,"2-комн. квартира, 54,24 м², 7/24 этаж",Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/309402371/,27 288 144 ₽,503 100 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Пушкинская, Тверская улица, 17",2 минуты пешком,Пушкинская,"Готова к въезду, в центре Москвы","2-комн. квартира, 57 м², 3/8 этаж",https://www.cian.ru/sale/flat/309516529/,47 250 000 ₽,828 947 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Нагорная, Нагорный бульвар, 17",12 минут пешком,Нагорная,Лучшая цена! Двушка 44м Реновация,"2-комн. квартира, 44,5 м², 4/5 этаж",https://www.cian.ru/sale/flat/310783473/,13 000 000 ₽,292 135 ₽/м²
"Москва, СВАО, р-н Марфино, м. Бутырская, улица Академика Королева, 21",12 минут пешком,Бутырская,"2-комн. квартира, 61,53 м², 2/26 этаж",Секция 6 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/309259541/,33 720 000 ₽,548 025 ₽/м²
"Москва, ЗАО, р-н Фили-Давыдково, м. Кунцевская, Кутузовский проспект, 69К2",15 минут пешком,Славянский бульвар,Квартира на Кутузовском проспекте,"2-комн. квартира, 43,7 м², 2/5 этаж",https://www.cian.ru/sale/flat/308657571/,16 000 000 ₽,366 133 ₽/м²
"Москва, ЗАО, р-н Кунцево, м. Молодёжная, улица Академика Павлова, 13",18 минут пешком,Молодёжная,Лучшее предложение!,"2-комн. квартира, 45 м², 5/9 этаж",https://www.cian.ru/sale/flat/307539420/,15 400 000 ₽,342 222 ₽/м²
"Москва, ЗАО, р-н Фили-Давыдково, м. Кунцевская, Малая Филевская улица, 46",9 минут пешком,Кунцевская,Резиденция с авторской отделкой,"2-комн. квартира, 61,6 м², 6/25 этаж",https://www.cian.ru/sale/flat/307668269/,48 664 000 ₽,790 000 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",2 минуты пешком,Маяковская,Лучшее предложение! Звони!,"2-комн. апартаменты, 148,5 м², 3/9 этаж",https://www.cian.ru/sale/flat/307826522/,220 000 000 ₽,1 481 481 ₽/м²
"Москва, НАО (Новомосковский), м. Мичуринец, Внуковское поселение, улица Бориса Пастернака, 41",19 минут пешком,Мичуринец,2-комн. квартира,"2-комн. квартира, 51,1 м², 8/17 этаж",https://www.cian.ru/sale/flat/307545472/,14 300 000 ₽,279 843 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Аминьевская, Очаково мкр",7 минут на транспорте,Аминьевская,"2-комн. квартира, 51,1 м², 2/13 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310720845/,17 065 355 ₽,333 960 ₽/м²
"Москва, САО, р-н Савеловский, м. Савёловская, улица Нижняя Масловка, 10Б",6 минут пешком,Савёловская,Доступна рассрочка без %,"2-комн. апартаменты, 54,7 м², 4/11 этаж",https://www.cian.ru/sale/flat/309816572/,19 692 000 ₽,360 000 ₽/м²
"Москва, ЮАО, р-н Чертаново Южное, м. Пражская, Чертановская улица, 49К2",14 минут пешком,Пражская,"2-комн. квартира, 49 м², 4/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310825017/,14 790 000 ₽,301 837 ₽/м²
"Москва, ЮАО, р-н Чертаново Южное, м. Аннино, Варшавские Ворота ЖК, 1.1",4 минуты пешком,Аннино,Рассрочка 0% на апартаменты,"2-комн. апартаменты, 54,3 м², 2/9 этаж • Секция 4",https://www.cian.ru/sale/flat/307274474/,11 887 465 ₽,218 922 ₽/м²
"Москва, САО, р-н Савеловский, м. Савёловская, улица Нижняя Масловка, 10Б",6 минут пешком,Савёловская,Доступна рассрочка без %,"2-комн. апартаменты, 54,6 м², 7/11 этаж",https://www.cian.ru/sale/flat/309817409/,20 748 000 ₽,380 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Раменки, улица Столетова, 15",6 минут пешком,Раменки,В зелёном районе,"2-комн. квартира, 56 м², 15/22 этаж",https://www.cian.ru/sale/flat/310765033/,29 000 000 ₽,517 857 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мичуринский проспект, вл30Б",14 минут пешком,Ломоносовский проспект,"2-комн. квартира, 43,3 м², 2/17 этаж",Секция 6 • Сдача корпуса 1 кв. 2025,https://www.cian.ru/sale/flat/274701405/,28 683 553 ₽,662 438 ₽/м²
"Москва, САО, р-н Левобережный, м. Беломорская, Беломорская улица, 13к2",4 минуты пешком,Беломорская,Отличная 2-к квартира!,"2-комн. квартира, 53,2 м², 14/17 этаж",https://www.cian.ru/sale/flat/310067386/,14 600 000 ₽,274 436 ₽/м²
"Москва, ВАО, р-н Сокольники, м. Красносельская, 2-я Рыбинская улица, 13",19 минут пешком,Красносельская,"2-комн. апартаменты, 64 м², 4/4 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309543274/,14 500 000 ₽,226 563 ₽/м²
"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, Тэйт ЖК",11 минут пешком,Марьина Роща,"2-комн. квартира, 58,94 м², 3/49 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/296640098/,22 826 283 ₽,387 280 ₽/м²
"Москва, ЦАО, р-н Таганский, м. Чкаловская, Серебряническая набережная, 19",14 минут пешком,Таганская,Квартира с дизайнерским ремонтом,"2-комн. квартира, 137,6 м², 2/6 этаж",https://www.cian.ru/sale/flat/301956535/,238 611 599 ₽,1 734 096 ₽/м²
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, Анадырский проезд, 21",17 минут пешком,Бабушкинская,"2-комн. квартира, 60 м², 5/5 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309103997/,12 000 000 ₽,200 000 ₽/м²
"Москва, САО, р-н Савеловский, м. Дмитровская, 2-я Хуторская улица, 34",4 минуты пешком,Дмитровская,"2-комн. квартира, 57,89 м², 5/43 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/300287890/,27 916 874 ₽,482 240 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Аминьевская, улица Лобачевского, 118к2",19 минут пешком,Мичуринский проспект,"2-комн. квартира, 60 м², 17/23 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310917742/,24 300 000 ₽,405 000 ₽/м²
"Москва, СВАО, р-н Отрадное, м. Отрадное, Отрадная улица, 18",17 минут пешком,Отрадное,Светлая с мебелью и техникой!,"2-комн. квартира, 44 м², 6/9 этаж",https://www.cian.ru/sale/flat/309724273/,14 700 000 ₽,334 091 ₽/м²
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, вл8",5 минут пешком,Белорусская,"2-комн. квартира, 68,6 м², 3/36 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/306603287/,49 837 282 ₽,726 491 ₽/м²
"Москва, САО, р-н Головинский, м. Коптево, Михалковская улица, 54",10 минут пешком,Коптево,Квартира у Головинских прудов,"2-комн. апартаменты, 57,5 м², 8/10 этаж",https://www.cian.ru/sale/flat/309088865/,18 975 000 ₽,330 000 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Красногвардейский бульвар, 5К2",18 минут пешком,Шелепиха,Новый ремонт I Виды I Консьерж,"2-комн. квартира, 37,5 м², 4/16 этаж",https://www.cian.ru/sale/flat/310065549/,18 200 000 ₽,485 333 ₽/м²
"Москва, САО, р-н Аэропорт, м. Сокол, 2-й Амбулаторный проезд, 23АС4",14 минут пешком,Сокол,Жилой комплекс бизнес-класса SOUL,"2-комн. квартира, 65,2 м², 16/29 этаж • Секция 3",https://www.cian.ru/sale/flat/299852244/,25 026 498 ₽,383 842 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Киевская, Большая Дорогомиловская улица, 5",8 минут пешком,Киевская,Лучшее предложение в Дорогмилово!,"2-комн. квартира, 56,6 м², 6/8 этаж",https://www.cian.ru/sale/flat/309811504/,37 800 000 ₽,667 845 ₽/м²
"Москва, ЮЗАО, р-н Академический, м. Крымская, улица Винокурова, 11К2",15 минут пешком,Академическая,Евродвушка у метро во дворе,"2-комн. квартира, 44 м², 4/5 этаж",https://www.cian.ru/sale/flat/310942449/,19 700 000 ₽,447 727 ₽/м²
"Москва, САО, р-н Головинский, м. Коптево, Михалковская улица, вл56",4 минуты на транспорте,Водный стадион,"Рассрочка 0%. 2-к. кв., 36.0 м2","2-комн. квартира, 36 м², 4/20 этаж • Секция 1",https://www.cian.ru/sale/flat/307196512/,14 260 428 ₽,396 123 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Шмитовский проезд, 16С2",19 минут пешком,Шелепиха,"2-комн. квартира, 68 м², 10/24 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310782954/,38 307 000 ₽,563 338 ₽/м²
"Москва, СВАО, р-н Северное Медведково, м. Медведково, проезд Шокальского, 57К1",5 минут пешком,Медведково,2 мин метро! Парк Панорамные окна,"2-комн. квартира, 40 м², 6/14 этаж",https://www.cian.ru/sale/flat/310917196/,10 199 000 ₽,254 975 ₽/м²
"Москва, ЦАО, р-н Арбат, Никитский бульвар, 6/20",6 минут на транспорте,Москва (Киевский вокзал),"2-комн. квартира, 97,7 м², 3/8 этаж",Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/310065847/,268 675 000 ₽,2 750 000 ₽/м²
"Москва, САО, р-н Хорошевский, м. Полежаевская, улица Куусинена, 6АК1",8 минут пешком,Полежаевская,"2-комн. квартира, 52 м², 6/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310262664/,20 000 000 ₽,384 615 ₽/м²
"Москва, ЮАО, р-н Донской, м. Тульская, Большая Тульская улица, 54",8 минут пешком,Тульская,"Функциональная квартира, видовая!","2-комн. квартира, 54,1 м², 8/17 этаж",https://www.cian.ru/sale/flat/310395073/,18 500 000 ₽,341 959 ₽/м²
"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, Тэйт ЖК",11 минут пешком,Марьина Роща,"2-комн. квартира, 58,94 м², 3/49 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/296640098/,22 826 283 ₽,387 280 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Льва Толстого, 23к7с3",10 минут пешком,Парк Культуры,"2-комн. квартира, 96 м², 6/7 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306566143/,260 000 000 ₽,2 708 333 ₽/м²
"Москва, СВАО, р-н Алексеевский, м. Алексеевская, Староалексеевская улица, 5А",10 минут пешком,Алексеевская,"2-комн. квартира, 50 м², 9/27 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310743079/,26 699 000 ₽,533 980 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Воробьёвы горы, Коллекция Лужники ЖК",12 минут пешком,Воробьёвы горы,"2-комн. квартира, 49,8 м², 9/17 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/310846093/,65 488 000 ₽,1 315 020 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая набережная, 7",9 минут пешком,Новокузнецкая,Апартаменты рядом с Кремлём,"2-комн. апартаменты, 94 м², 5/6 этаж",https://www.cian.ru/sale/flat/306837240/,99 000 000 ₽,1 053 191 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Курская, Подсосенский переулок, 6",11 минут пешком,Курская,"2-комн. квартира, 47 м², 4/5 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/304814584/,27 000 000 ₽,574 468 ₽/м²
"Москва, ЦАО, р-н Пресненский, Московский международный деловой центр Москва-Сити тер., Дом Дау многофункциональный жилой комплекс",11 минут пешком,Тестовская,"2-комн. квартира, 71,56 м², 14/85 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/309379633/,54 208 108 ₽,757 520 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Технопарк, проспект Лихачева, 12к1",11 минут пешком,Технопарк,"2-комн. квартира, 70 м², 3/21 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/298346480/,28 990 000 ₽,414 143 ₽/м²
"Москва, ЮЗАО, р-н Ломоносовский, м. Новаторская, улица Гарибальди, 4К5",10 минут пешком,Новаторская,"Евро ремонт, новая техника!","2-комн. квартира, 45 м², 5/9 этаж",https://www.cian.ru/sale/flat/306371748/,15 390 000 ₽,342 000 ₽/м²
"Москва, ЗАО, р-н Кунцево, м. Кунцевская, 48-й кв-л, Кутузовский Квартал ЖК",13 минут пешком,Кунцевская,"2-комн. квартира, 55,47 м², 2/12 этаж",Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/304753618/,19 304 225 ₽,348 012 ₽/м²
"Москва, САО, р-н Аэропорт, м. Аэропорт, Ленинградский проспект, 54/1",5 минут пешком,Аэропорт,"Переуступка Ипотеки - 10,9%!","2-комн. квартира, 43,1 м², 4/9 этаж",https://www.cian.ru/sale/flat/310348637/,25 820 000 ₽,599 072 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Сетунь, Сколковское шоссе, 40к2",9 минут на транспорте,Кунцевская,"2к дизайн-ремонт, вид на юг, двор","2-комн. квартира, 40 м², 4/14 этаж",https://www.cian.ru/sale/flat/310745319/,21 450 000 ₽,536 250 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Давыдково, Веер ЖК",4 минуты на транспорте,Давыдково,"2-комн. квартира, 54,3 м², 12/59 этаж",Секция 1 • Сдача корпуса 3 кв. 2028,https://www.cian.ru/sale/flat/306610639/,Информация отсутствует,463 800 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Костикова, 4к3",7 минут пешком,Улица 1905 года,Видовая квартира с террасой,"2-комн. квартира, 116 м², 2/21 этаж",https://www.cian.ru/sale/flat/310269057/,135 000 000 ₽,1 163 793 ₽/м²
"Москва, САО, р-н Хорошевский, м. Полежаевская, улица Куусинена, 6К10",6 минут пешком,Полежаевская,"Дизайнерская отделка, мебель!","2-комн. квартира, 38,3 м², 8/12 этаж",https://www.cian.ru/sale/flat/309381534/,17 990 000 ₽,469 713 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Нагорная, Севастопольский проспект, 22А",20 минут пешком,Нагорная,"2-комн. квартира, 42,7 м², 35/42 этаж",Секция 2 • Сдан,https://www.cian.ru/sale/flat/301259803/,22 179 592 ₽,519 428 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",2 минуты пешком,Маяковская,Лучшая цена за кв.м.,"2-комн. апартаменты, 64,2 м², 8/9 этаж",https://www.cian.ru/sale/flat/297469215/,75 990 000 ₽,1 183 645 ₽/м²
"Москва, ВАО, р-н Вешняки, м. Новогиреево, Вешняковская улица, 6К5",16 минут пешком,Новогиреево,Квартира рядом с усадьбой Кусково,"2-комн. квартира, 43 м², 4/9 этаж",https://www.cian.ru/sale/flat/309278348/,10 500 000 ₽,244 186 ₽/м²
"Москва, ЮВАО, р-н Южнопортовый, м. Дубровка, Шампайн ЖК, к3",2 минуты на транспорте,Волгоградский проспект,"2-комн. квартира, 60,6 м², 6/13 этаж",Секция 4 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/302838481/,35 473 620 ₽,585 373 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая улица, 29",8 минут пешком,Новокузнецкая,Апартамент в ЖК Balchug Residence,"2-комн. апартаменты, 62 м², 3/7 этаж",https://www.cian.ru/sale/flat/308878597/,50 000 000 ₽,806 452 ₽/м²
"Москва, САО, р-н Дмитровский, м. Грачёвская, Клязьминская улица, 4",3 минуты на транспорте,Грачёвская,Лучшее предложение!,"2-комн. квартира, 44 м², 10/12 этаж",https://www.cian.ru/sale/flat/309755274/,10 500 000 ₽,238 636 ₽/м²
"Москва, ЦАО, р-н Мещанский, м. Цветной бульвар, Садовая-Сухаревская улица, 14",1 минута на транспорте,Сухаревская,Рассрочка 0%,"2-комн. квартира, 85,19 м², 6/13 этаж • Секция 1",https://www.cian.ru/sale/flat/309432129/,127 282 379 ₽,1 494 100 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Большой Тишинский переулок, 38",13 минут пешком,Улица 1905 года,"2-комн. апартаменты, 45,8 м², 3/7 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306821480/,41 600 000 ₽,908 297 ₽/м²
"Москва, САО, р-н Хорошевский, м. Хорошёвская, 1-я Магистральная улица, 25",10 минут пешком,Хорошёвская,"2-к апартаменты в ЖК ""Мята""","2-комн. апартаменты, 46 м², 13/22 этаж",https://www.cian.ru/sale/flat/309684709/,21 000 000 ₽,456 522 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 22с2",4 минуты пешком,Москва-Сити,"2-комн. апартаменты, 54,9 м², 2/78 этаж",Сдан,https://www.cian.ru/sale/flat/308919134/,41 175 000 ₽,750 000 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Виктора Маслова, 2",18 минут пешком,Автозаводская,Квартира!,"2-комн. квартира, 72 м², 12/14 этаж",https://www.cian.ru/sale/flat/310670806/,38 000 000 ₽,527 778 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Аминьевская, улица Лобачевского, 120к1",8 минут пешком,Аминьевская,Своя терраса! 3D-тур по запросу!,"2-комн. квартира, 63,88 м², 27/39 этаж",https://www.cian.ru/sale/flat/307812448/,32 590 000 ₽,510 175 ₽/м²
"Москва, ЦАО, р-н Арбат, м. Смоленская, улица Арбат, 39",6 минут пешком,Смоленская,"2-комн. квартира, 178,6 м², 3/5 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/306783471/,150 400 000 ₽,842 105 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, 1-й Сетуньский проезд, 8",18 минут пешком,Кутузовская,"2-комн. квартира, 54,4 м², 11/43 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308418795/,30 990 000 ₽,569 669 ₽/м²
"Москва, ЮВАО, р-н Текстильщики, м. Текстильщики, Волжский бульвар, 12К1",11 минут пешком,Текстильщики,"2-комн. квартира, 38 м², 8/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310941061/,12 700 000 ₽,334 211 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Виктори Парк Резиденсез ЖК, 3к8",4 минуты пешком,Поклонная,Дом готов. Элитные резиденции,"2-комн. квартира, 59,8 м², 2/10 этаж",https://www.cian.ru/sale/flat/303519421/,77 740 000 ₽,1 300 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Минская, проспект Генерала Дорохова, 39к1Г",5 минут на транспорте,Минская,"2-комн. квартира, 77 м², 9/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309583372/,65 000 000 ₽,844 156 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Ходынская улица, 2",13 минут пешком,Улица 1905 года,Лучшая цена в жк.,"2-комн. апартаменты, 69,4 м², 39/44 этаж",https://www.cian.ru/sale/flat/310520233/,38 500 000 ₽,554 755 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 21с2",1 минута пешком,Москва-Сити,От застройщика Capital Group,"2-комн. апартаменты, 80,6 м², 59/85 этаж",https://www.cian.ru/sale/flat/288136857/,74 364 100 ₽,922 632 ₽/м²
"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/6",12 минут пешком,Аэропорт,"2-комн. квартира, 72,8 м², 28/41 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310014032/,73 000 000 ₽,1 002 747 ₽/м²
"Москва, ЗАО, р-н Солнцево, м. Солнцево, Солнцевский проспект, 26К1",15 минут пешком,Солнцево,"2-комн. квартира, 51 м², 4/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309990408/,14 000 000 ₽,274 510 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Кропоткинская, 3-й Обыденский переулок, 1С1",5 минут пешком,Кропоткинская,"2-комн. квартира, 172,1 м², 1/6 этаж",Секция 1 • Сдача корпуса 1 кв. 2026,https://www.cian.ru/sale/flat/308011956/,699 850 000 ₽,4 066 531 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",17 минут пешком,Парк Победы,Лучшее предложение! Звони!,"2-комн. апартаменты, 62,7 м², 9/32 этаж",https://www.cian.ru/sale/flat/308907051/,49 800 000 ₽,794 258 ₽/м²
"Москва, ЮЗАО, р-н Ломоносовский, м. Университет, улица Строителей, 5К4",13 минут пешком,Университет,"Капитальный ремонт, кухня!","2-комн. квартира, 53,9 м², 4/5 этаж",https://www.cian.ru/sale/flat/310189159/,19 490 000 ₽,361 596 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Тульская, улица Серпуховский Вал, 7",4 минуты пешком,Тульская,Беспроцентная рассрочка,"2-комн. квартира, 70,8 м², 2/15 этаж",https://www.cian.ru/sale/flat/303330158/,58 480 800 ₽,826 000 ₽/м²
